N,beta,cov_xm,method,par,COVERAGE,RMSE,RSEbias,STDbias,REPLICATIONS,N_lab,beta_lab,cov_xm_lab
5000,0.15,0.2,fs,m,0.04300000000000004,0.04299186550965192,0.6243380299683219,-4.886878975232193,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.2
5000,0.15,0.2,fs,x,0.9339999999999999,0.016597831183621542,0.5411572962019222,-1.5283386173736973,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.2
5000,0.15,0.2,fs,xm,0.494,0.034906761522662054,0.0422320527004838,-2.0746339059483727,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.2
5000,0.15,0.2,tspa,m,0.9995,0.010884553275169361,0.5734905313801,-0.09228696993556211,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.2
5000,0.15,0.2,tspa,x,0.9965,0.011403420539469725,0.4962711338355159,-0.0810982296982152,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.2
5000,0.15,0.2,tspa,xm,0.9655,0.018085449952931775,0.053763123236096,0.010475991493494185,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.2
5000,0.15,0.5,fs,m,0.07250000000000001,0.04492021259967498,0.5084136568145523,-4.4284700440517,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.5
5000,0.15,0.5,fs,x,0.9985,0.01002042913252721,0.49936273834226697,0.06167584316525121,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.5
5000,0.15,0.5,fs,xm,0.834,0.0215180157077738,0.01532966170268768,-1.0292328065137086,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.5
5000,0.15,0.5,tspa,m,0.997,0.014089819019419659,0.4689967310090175,-0.24046620441525687,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.5
5000,0.15,0.5,tspa,x,0.9965,0.013847905978883595,0.45856028886235833,0.09987107584037426,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.5
5000,0.15,0.5,tspa,xm,0.945,0.01813753015159451,0.04552876603695877,0.4061102999953498,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.5
5000,0.15,0.8,fs,m,0.023499999999999965,0.06247295014644337,0.25609268090917836,-4.503921951298102,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.8
5000,0.15,0.8,fs,x,0.772,0.02738076879855641,0.2327947977195235,1.664826181352505,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.8
5000,0.15,0.8,fs,xm,0.884,0.018599610210969477,-0.0023981585532774075,0.7342133480451696,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.8
5000,0.15,0.8,tspa,m,0.958,0.033999529408507985,0.21147564994592916,-0.6327596513649157,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.8
5000,0.15,0.8,tspa,x,0.968,0.033254443312135,0.19698366098232611,0.550983216014549,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.8
5000,0.15,0.8,tspa,xm,0.8505,0.020524509738359162,0.02160569865269779,0.9249529737363189,2000,italic(N) == 5000,beta == 0.15,Correlation_XM == 0.8
5000,0.2,0.2,fs,m,0.0635,0.040204769617546605,0.46848276572315695,-4.400061222940059,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.2
5000,0.2,0.2,fs,x,0.766,0.022061085648716398,0.4973367343974753,-2.21222231498197,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.2
5000,0.2,0.2,fs,xm,0.04500000000000004,0.056571697870931914,0.030265685856775137,3.7526301783955653,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.2
5000,0.2,0.2,tspa,m,0.995,0.01195455979950747,0.419775478827936,-0.0020489190805960964,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.2
5000,0.2,0.2,tspa,x,0.9935,0.012348441197171404,0.3925086200425947,0.16131121646783086,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.2
5000,0.2,0.2,tspa,xm,0.959,0.019128669582592503,0.04601736507203058,-0.24483032027972518,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.2
5000,0.2,0.5,fs,m,0.39849999999999997,0.0318225313260903,0.39242467141830484,-3.003226967388281,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.5
5000,0.2,0.5,fs,x,0.978,0.012408646179176848,0.33635042750675703,-0.6316036696952073,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.5
5000,0.2,0.5,fs,xm,0.6725,0.026314188188123935,0.05977960048394393,1.6351728064784579,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.5
5000,0.2,0.5,tspa,m,0.989,0.015358189997522502,0.30300471814209295,0.23180714209261413,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.5
5000,0.2,0.5,tspa,x,0.9905,0.015471199048554703,0.2748885037929374,0.088290204994895,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.5
5000,0.2,0.5,tspa,xm,0.8674999999999999,0.02408154895350378,0.05318498603486144,-1.011808912300673,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.5
5000,0.2,0.8,fs,m,0.8445,0.02246933465859635,0.23545052029426916,-1.4273662937000986,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.8
5000,0.2,0.8,fs,x,0.986,0.013122480710597365,0.24752631929600066,0.19938202811428046,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.8
5000,0.2,0.8,fs,xm,0.4,0.03337221898525776,0.021572192686890368,-2.248579648029017,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.8
5000,0.2,0.8,tspa,m,0.904,0.03975396835537304,0.16986842324903706,0.9963231469867826,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.8
5000,0.2,0.8,tspa,x,0.948,0.03431901805122053,0.18734203798740356,-0.7069784540385057,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.8
5000,0.2,0.8,tspa,xm,0.5005,0.03334694888591756,0.04691013574763914,-2.0497772791108058,2000,italic(N) == 5000,beta == 0.2,Correlation_XM == 0.8
